bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1XkNazrEKq,北美VLOG 没课的暑期日常 来一碗香喷喷的洋葱肥牛盖饭 在家吃泰式冬阴功火锅 狂风暴雨的初夏,//i0.hdslb.com/bfs/archive/94da60dafc199e217688b6fe18ff10c6b6666960.jpg,1720,46147,26086,281,小纯洁y,245528
BV1Py5izFEYK,Vlog40｜一个人在巴黎买花、野餐、看展、晒太阳，试着感知活在当下的意义📔,//i0.hdslb.com/bfs/archive/580f0a7b71cabaae84a7f169e8e90c81db7c91f3.jpg,2711,5213892,941445,1073,Naaana_,243874
BV1BhMTz9Evm,Vlog / : 感到疲惫就回家吧 (๑´oั ₃oั๑)ฅ｜购物分享｜耳机开箱｜宅家日常,//i0.hdslb.com/bfs/archive/c1457dbfff3b79dad65761ab32af27c4b0a0a834.jpg,1128,355727,20627,58,午夜忧郁芋头,31921
BV1XMTxztE2B,Vlog43｜治愈生活，和我一起在英国乡村小镇接收一份平静,//i0.hdslb.com/bfs/archive/29a7b38e8d420763b9f8eb2bb47ece388b15ce61.jpg,1991,1052652,316434,869,Naaana_,243874
BV1BhXpYvERH,欧阳娜娜VLOG】VLOG163 Nabi in Paris,//i1.hdslb.com/bfs/archive/b430d2e2d3c7af6e45e13e17972b2488b0ad408e.jpg,1207,7546450,269297,438,欧阳娜娜Nana,1656719
BV1LsMczeEj3,VLOG 87 夏天的第一顿麻辣小龙虾！工作日吃饭记录/金枪鱼泡菜汤*米菲吐司*饭团早餐盘/购物分享/有趣的商店,//i1.hdslb.com/bfs/archive/5148860b834e9297ed71274f11ca87951512be3c.jpg,2333,449884,35201,258,Ling_Kiko,143166
BV1y441187TB,Vlog拍摄技巧大揭秘：拍好你的第一个Vlog,//i1.hdslb.com/bfs/archive/27c12adf8f93f3729edc7049b5f1377c5e2e4725.jpg,406,193978112,1430286,2120,影视飓风,11473072
BV1GLjdzBERw,北美VLOG. 在最爱的初夏喝冰燕麦拿铁 春季学期倒计时 我的在校一日三餐,//i1.hdslb.com/bfs/archive/cff7850848541af7ab48c5a87acda71f58c73a52.jpg,1760,1825263,157667,615,小纯洁y,245528
BV1jDj2zXEXL,【中英字幕】Sydney Serena 纽约一周的生活VLOG,//i2.hdslb.com/bfs/archive/38c66283e6435f64a1db26d84ebed750bf40de39.jpg,1167,1900910,35080,10,正念小花园,33403
BV1eUTxzcEPq,夏日杂食记！麻婆豆腐拌面、网球练习室、红十字救护员证｜芽腿vlog219,//i2.hdslb.com/bfs/archive/0f66c02c0c1b1e52b5650ce0f0b4f27dc07e9008.jpg,755,1048747,190401,562,芽腿,389482
BV1vRMBzBEVY,HONG KONG VLOG｜香港➕成都美食记录～茶餐厅☕️点心🥧早茶🍧冰室吃个遍！成都超好吃苍蝇馆子！跟着王刚老师不会错～,//i1.hdslb.com/bfs/archive/834ab15f849cda00e14fc6347191f36da8f37677.jpg,1673,269347,116964,1002,Vickysoupsss,702358
BV19J4m1Y7wV,【欧阳娜娜VLOG】VLOG151 Get back on track part 2.0,//i2.hdslb.com/bfs/archive/6dbcd0932f0b2e7aa73456a1906900baeb9f81c3.jpg,1207,41513161,588964,763,欧阳娜娜Nana,1656719
BV1ubTpz7ETq,北美VLOG 夏天最爱的红发 一个人的糖醋排骨端午大餐 买了今年第一个榴莲 在咖啡店的幸福见面日,//i2.hdslb.com/bfs/archive/58ee517e071b6bdf19a928df51ad8ff58430f792.jpg,2037,1077951,105331,679,小纯洁y,245528
BV1H2MJzwEs8,我的高考日记（上）,//i0.hdslb.com/bfs/archive/5fd3ea1c0fefecaa397eb043e5c78104d2595835.jpg,457,535007,863211,226,我叫毕语航,365642
BV1ZbN8zkEZG,VLOG#28 | 我觉得这个生活有点莫名其妙,//i0.hdslb.com/bfs/archive/a281fe1fd68756471e70aebda07ca20a42b0f10f.jpg,1179,42547,5510,92,安饺辣,287725
BV1NbJbzREng,【gaeeun中字最新】首尔大博士4天3夜上海vlog｜《我独自旅行》Ep.上海篇｜上海的美味吃播行&四天三夜的上海旅行｜性价比酒店+美食推荐｜超值的上海之行！,//i2.hdslb.com/bfs/archive/0218716043d4b631bcb27ab28866ffe315ae5880.jpg,1227,2440107,41786,154,福宝福宝-,22474
BV1iATzzuEW8,南美第一站！巴西vlog🇧🇷老娘来了！✈️,//i1.hdslb.com/bfs/archive/575f2fb9812329a346b9a053885b683fc7b83de0.jpg,684,622147,86837,587,谁是阿尖,612210
BV1TGMEziExf,VLOG｜独居女生一人食｜贵州美食也可以算是减脂餐！香菜牛肉、粉丝拌杂菜都好好吃啊！｜买了超多零食拆拆，可以不吃，但是不能不囤！,//i1.hdslb.com/bfs/archive/310550c373d2258ba6824b70db9a494213be135b.jpg,2223,533958,52673,434,要这身肉有何用,157194
BV1cNjqzYEYE,VLOG｜低低飞过台南的夏天｜草莓刨冰｜海边的日落｜奇美博物馆｜好吃的牛肉汤～,//i1.hdslb.com/bfs/archive/580b7c074592a47d24932c81dfa8b167823868b6.jpg,1052,1133058,46739,188,桂圆茶gycrence,263994
BV1ZCMszBEZh,「生活是狗娘」Ep.105 从平淡的日子中感受快乐,//i2.hdslb.com/bfs/archive/a1f0c81cf0b8ed654558900aa5502835fade6a6b.jpg,945,208158,54730,250,你好竹子V,484384
BV1g6MqzFEUk,安妮日记#79： 种花日常！慢慢想回归点居家vlog｜ANNS VLOG,//i0.hdslb.com/bfs/archive/3ad2847ff9d5c5cad88c488b6c12f5e32013db13.jpg,1917,110815,17821,193,ANNBITION,565983
BV1SnMVzREYS,🍜𓂂𓈒𓏸Vlog 低能量人努力生活就已经很厉害了! | 早起| 日语学习｜逛超市｜整理冰箱｜做土豆炖牛肉｜做饭是最小单位的禅修,//i2.hdslb.com/bfs/archive/a2d6c42753c45bc0de6588f2f5e80aa797d1e27c.jpg,670,535758,28591,126,不二要好好生活,55290
BV1ZJ4m1V78E,₊⁺香港vlog|春日穿搭|港迪|拍立得mini90开箱|逛街|吃吃喝喝|三丽鸥|新双肩包,//i0.hdslb.com/bfs/archive/ec86e185004f736102c30421a47ee1d7109b69d4.jpg,1282,37070366,56398,366,Cryorhemn,40600
BV1PUTKz8EHb,VLOG⚘1人1狗੯‧̀͡⬮ 就把日子过的有声有色•͈ᴗ⁃͈周末在家招待朋友！diy珠帘·囤货收纳·自制土匪锅巴·开心果树莓蛋糕·铁板烤串🍢,//i0.hdslb.com/bfs/archive/b483cfd3799569f5d28b7dfe7369648e756099fd.jpg,859,962358,202321,1052,双下巴的反击,435722
BV1yVj3zcEn3,"YiiFan Vlog:""五月的天，是刚诞生的夏天""｜巨型布拉塔奶酪三明治｜彩色收纳篮｜包装礼物｜百香果酸汤牛肉｜柠檬巴巴露亚｜纳豆芝士欧姆蛋｜追着柠檬啃的人",//i0.hdslb.com/bfs/archive/b4d48d2a52d199a952537ea65572b7aba833005a.jpg,2058,2002758,74130,448,Yii_Fan_,95086
BV1tFMczDEpY,肉丸VLOG 30，温馨又高效的夜间日常，新衣服分享，新香水，最爱的番茄炒蛋夜间护理，挖婆婆丁，林间烤串，简单做饭，皮肤管理，驴肉火烧,//i0.hdslb.com/bfs/archive/0d29c43608a70b118c2b7534fc0d2826d937a49b.jpg,896,362958,38882,197,吃西瓜的肉丸,218653
BV1i3TXz3Eq3,吃着吃着胖了快10斤但老娘无怨无悔嘿嘿嘿,//i2.hdslb.com/bfs/archive/c06d26bafa4bffac528de91599916eb8b779abf8.jpg,1340,792038,122373,714,我是一颗梨,437100
BV13M1FYqETx,高三VLOG📚学习浓度75%的一周,//i0.hdslb.com/bfs/archive/241011579fb8958e5ae28861c1b5dc86c5b4ebac.jpg,461,20495933,3161119,13774,阿家家家家家Lily,1280166
BV1Bm42157SM,5点晨跑！高能量的秘诀是只做自己决定的事情 | 上班族如何平衡生活和运动，一些保持活力的方法 | 坚持健身 | 上海独居vlog,//i0.hdslb.com/bfs/archive/8f5d6e8bdd91eb5ebfe8a7025a5ec518c08faa15.jpg,1426,32757558,706238,817,甜椒铜豌豆,373810
BV1y7421Z73M,vlog·平淡悠闲的五月初：假期碎片｜读文献日常｜新笔袋装修｜ipad壳&bm粉大开箱｜独居饮食记录&校园野餐&草莓冰淇淋,//i1.hdslb.com/bfs/archive/17595ad295a3e16b210fb59f99e7af86f12bfdb7.jpg,718,33050958,119682,78,Cekeaii,43960
BV1iVMbz1ERL,初跑者开始晨跑遇上下雨，那就淋雨开心跑吧 | 养牡丹鹦鹉的日常 | 送学生礼物 | 接受采访,//i0.hdslb.com/bfs/archive/138fd69f67a23cb95d32d4a78dc906caae77144e.jpg,1365,189446,17363,222,甜椒铜豌豆,373810
BV1fGNvzfERf,[EVERY WONWOO] 冬日散步 | 请播放安静的音乐 | 伦敦 VLOG,//i1.hdslb.com/bfs/archive/0b665925477eb7bc722584247b5bd8c44fd54afe.jpg,538,16347,32907,910,SEVENTEEN,1967812
BV1eSMezxEMg,高三结束vlog-高考后24h我在干什么！！！,//i1.hdslb.com/bfs/archive/d73940bdb39651fba5846ab05943d2fd2e6bcb8a.jpg,347,115268,54949,12,牛油果大反派,13729
BV1sd7QzmEiK,【英字vlog】Hadassah Naomi | 纽约的真实一周🍥｜独居生活日记,//i2.hdslb.com/bfs/archive/ff083cb84d5703524c837e300699396495d0e074.jpg,1765,1287628,7547,1,Jerryjjjae,28856
BV1gtTRzMELg,沉浸式养狗vlog！拥有什么就享受什么～夏天是百香果的味道！,//i1.hdslb.com/bfs/archive/a3aa300190b61a5ffca21221d0a555a9d4622387.jpg,464,779829,340575,244,金不拉毛抱抱,455911
BV1xf421Q7UY,𖠚ᐝ上学日常Vlog|忙忙碌碌期末月|宅家独处|desk vibe|夏日穿搭🧃|咖啡馆学习,//i1.hdslb.com/bfs/archive/70ff50ca6d84c68cf715f003a60fe8ca4b294ffa.jpg,880,31631603,110419,122,Cryorhemn,40600
