bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV191cheiEJP,“值得单曲循环的宝藏歌单”,//i1.hdslb.com/bfs/archive/bd0ce209f8e17c12165b40f79a74839cdcdef784.jpg,2225,13228223,5164334,1888,宝藏音乐俱乐部,157510
BV11JMazMEZZ,「EMO宝藏歌曲合集」或许成为遗憾才能让人念念不忘,//i1.hdslb.com/bfs/archive/34ebd8e6fde6c2dc3cb98109e0128d794b82d31a.jpg,2458,140723,83753,7,果粒橙音乐,47935
BV15fLbz8EXK,𝙋𝙡𝙖𝙮𝙡𝙞𝙨𝙩 | 𝙍&𝘽精选 每一首都是仙品！| 氛围感歌单 放松 没人能拒绝R&B,//i0.hdslb.com/bfs/archive/ed5d30aeb787dd0564cbcccb06e2d7a9275dec4e.jpg,1738,4754583,1024090,1262,星痴_Daily_,353857
BV1VEj2zyEJS,【经典歌单】100首超好听的经典歌曲合集，宝藏流行音乐合集,//i0.hdslb.com/bfs/archive/ec564db7127ee54e2591d92991573d2fdac5a22b.jpg,25539,1927203,881632,37,Music_精彩音乐,34226
BV1SCMjziEUi,热歌音乐合集来了，一小时纯享版，#热歌 #热门歌曲 #往期热门回顾 #音乐分享 #戴上耳机54,//i2.hdslb.com/bfs/archive/30f693444c7ac8dd6f1f6b8a87e40b2882a9c9e0.jpg,7131,562396,130388,25,舒心_音乐3677,998
BV18vNqzQESm,助眠的、安静的、帮助入睡的轻音乐，平复心情，睡安稳觉★1098,//i0.hdslb.com/bfs/archive/800cf6033c2b788b0763693fdeb84187340958df.jpg,2162,971,75,0,Relax靡音之旅,6126
BV1sSMWz1Eg8,【歌单推荐】2025热门歌曲合集（第六期），精选流行音乐合集,//i0.hdslb.com/bfs/archive/4cd264981f72db318020991169e8c42c1311a055.jpg,6876,210668,106085,6,Music_精彩音乐,34226
BV1awR2Y8Epe,热歌合集丨《若月亮没来》《悬溺》《起风了》《凄美地》《土坡上的狗尾草》《跳楼机》《暮色回响》《小美满》《青花》《童话镇》,//i1.hdslb.com/bfs/archive/19c195eb4655f9a93dc7c6bb73b1a03cd67daf42.jpg,2293,6146743,353447,143,拾光-music,1392
BV1w3NvzhEMG,精选歌单合集《人间烟火》《天外来物》《喜欢你》《想你时风起》《勇气》《普通朋友》《天天》《过火》《忘了你忘了我》《爱就一个字》,//i0.hdslb.com/bfs/archive/6edbab4d8ef630c3bf659cb4e4cc1c1d367da385.jpg,2613,14392,629,0,爱我Music频道,1287
BV1rLNqzvEt8,短视频神曲回忆杀#音乐盘点#好听的歌曲,//i0.hdslb.com/bfs/archive/0c6770750bd4c0216a153fbb845844d185c59a0f.jpg,973,2470,66,0,了了音乐,20687
BV1so76zEEYR,“回忆成了大问题 我好想你.”,//i2.hdslb.com/bfs/archive/d83bdbada4feeca70dca7a1e483e172d187058be.jpg,2309,1401575,218572,174,星空上-音符,93018
BV1TxNBzmEC7,【唐伯虎Annie歌曲合集】她一开口都震撼到我了，比很多国人唱的都好，到底谁才是外国人？,//i1.hdslb.com/bfs/archive/2ddeb4b717dda24e98dd86cf4fdf528361552565.jpg,1961,9360,1087,6,日落歌单,16218
BV1DaMgzSERN,热门歌曲TOP100，首首经典，百听不厌,//i0.hdslb.com/bfs/archive/dcc9fc0826b385c46d3f6f8a0754e3c89873460c.jpg,28571,368525,118910,5,Music_精彩音乐,34226
BV1ECTuz8E6h,【Playlist】带给你清爽的夏日氛围Vol.4|快乐多巴胺|轻快|放松|Summer Vibes,//i1.hdslb.com/bfs/archive/d25ad5f23b70a82476d9f4526c2e70e575bab388.jpg,2511,567323,24495,10,CHAOSLAB混沌实验室,353410
