bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1bdL3zBEpy,究极变态！食人狂魔！地球上最著名的食人魔汉尼拔！深扒解析《汉尼拔》P1,//i0.hdslb.com/bfs/archive/50f4621da01bc692eb7f98ec001d66b3676db828.jpg,1469,4663616,796214,1475,谁是阿WAI,159248
BV1EdVnzkE9L,【阿奇】一口气看完2025年灾难片《永航员》：外星种群入侵地球，攻击模式堪称降维打击,//i2.hdslb.com/bfs/archive/9dc5a0b5036a6d5b171396e91a4d4a68d79f4d12.jpg,1840,3892005,1525169,4392,阿奇讲电影,249938
BV1QpzUYfEpV,25年前神级禁片，竟早已道出 “萝莉岛”的可怕秘密 ！  妮可基德曼为艺术献身《大开眼界》,//i2.hdslb.com/bfs/archive/c3bd8725a2543cbda6f47dea7a212d7ef0f96f0d.jpg,1275,16935550,717456,1632,电影迷小雅,1832432
BV1844y1J78C,十年了，这部科幻片仍然没有被超越，移民6万人仅存活1213人,//i2.hdslb.com/bfs/archive/baf3dd0cd114e93662fcb5b314ffec45a38a32e5.jpg,891,109979910,831088,842,第十区放映室,104151
BV1zqVhzvEKi,2025日本最新灾难片《新干线惊爆倒数》惊悚来袭 ，一口气看完,//i1.hdslb.com/bfs/archive/a71e6c245e2c9840c6dd4fedfa3b13a1f417c0c3.jpg,1921,3526498,111514,389,豪杰西瓜推影,6268
BV1uJ4m1t7TH,这个世界没什么大不了，只要你有勇气总会克服困难，高分电影《白日梦想家》,//i1.hdslb.com/bfs/archive/3c03f63268c0eb3c98673445e6d3a88e2c6916fd.jpg,1492,42669963,10653255,11399,顾我电影,3031744
BV1Ls4y1n76K,【阿斗】55万人打出9.2分，被无数影迷奉为“必看神作”！史上最经典的窃听电影《窃听风暴》,//i2.hdslb.com/bfs/archive/d625b6a75155097f3a574d607bf138acc7d48af9.jpg,1764,70752290,4132028,17870,阿斗归来了,6954866
BV1CJ4m1L7C1,一部手机到底能藏多少秘密？乔杉本色出演笑出腹肌，国产爆笑喜剧,//i0.hdslb.com/bfs/archive/22185c0abd745952d3c84fffbbb4f6cd62ebfdcc.jpg,1722,38383247,912098,2013,汤圆开心电影,229897
BV1GTm5YpEzX,改编自真实案件，被称为韩国19禁电影的犯罪悬疑巨作！《一定要抓住》,//i1.hdslb.com/bfs/archive/d4a9a2c04d5e828f863d2fac9025cb8b9d31c0bb.jpg,1494,21254909,269118,787,小班班影视,79664
BV1uLVHzfEd6,她看了100部犯罪电影，然后谋杀了仇人，最后完美脱罪，一口气看完犯罪悬疑英剧《甜豌豆第一季》！,//i2.hdslb.com/bfs/archive/149e005d972526fcec453d9c22ae608711083379.jpg,1679,3890905,149811,160,霹雳剧场,14007
BV1BZBvYYEeg,少女被骗子洗脑，竟服从到出卖自己的身体！无节操真实案件改编电影《服从》,//i0.hdslb.com/bfs/archive/3eb22bb9529c760660ddb8278c2f7fa892e6aca6.jpg,898,17903549,2819342,3916,电影迷小雅,1832432
BV1uSjizCEtb,两部怪形合集，还没入坑的伙伴有福了，超经典科幻电影,//i0.hdslb.com/bfs/archive/a72849098bf3569c715f298642ddf80aeaa2a94a.jpg,2794,1721541,63557,80,火鸟说电影,58105
BV1Ac411H7Xo,【阿斗】只有2万人看过的高智商犯罪电影，利用数学公式杀死14人，结局看完让人唏嘘！《深度谜案》,//i1.hdslb.com/bfs/archive/64c44349144b215090bb68f1dd3c637a0d243bb6.jpg,1554,67996263,5285691,15183,阿斗归来了,6954866
BV1EmVZzCEub,她做局30天，完美谋杀了小三，还送出轨老公入狱25年，一口气看完犯罪悬疑英剧《荒野》！,//i2.hdslb.com/bfs/archive/7cd1b70ed71baf2af16c16f6e51c913c1a374be3.png,1311,3219743,98471,144,光影Elias,5554
BV1MvXWYQE54,当她不再克制，农场沦为屠宰场，女性杀人狂巅峰《珀尔》,//i1.hdslb.com/bfs/archive/7a271a47f86ef9e0e95148b103005f5d10a7aa02.jpg,2246,7508343,1462522,7401,正经的瓜皮酱,1093959
BV19TM1z9EBL,2025新版《釜山行》丧尸不仅开飞机，还霸占地铁！全程刺激,//i2.hdslb.com/bfs/archive/4dcfca28510a5dae1a44992809662ba32db82fe0.jpg,1919,266417,127052,224,伯乐说电影,421985
BV1Xr5WzkErA,全家人旅游差点赔到破产？这部电影太费钱了，公路喜剧《人生路不熟》,//i2.hdslb.com/bfs/archive/4325d630670ddb21d781ad74cd6dfaf5496b4183.jpg,2075,5118830,2365636,4929,汤圆开心电影,229897
BV1dpLWzUEv5,克苏鲁神作《躯壳》西藏密宗佛教的八臂佛，居然是克苏鲁邪神“血舌”！,//i0.hdslb.com/bfs/archive/d0c77cf4c1b11cbb9b4a6b96e727b61258d3c8b4.jpg,1361,4492216,1574917,2584,巍哥奇谈,426751
BV1zb421J74H,中国第一青春片！满屏荷尔蒙！,//i2.hdslb.com/bfs/archive/46217e5eb361b2fe9a45181bc918894e510a59d0.jpg,1821,27040875,1202609,6184,扁豆看电影,1948162
BV1EdNvz8EBT,一口气看完高分电影《完美的世界》一个绑匪与人质小男孩的救赎之旅，让无数人潸然泪下的高分佳作,//i1.hdslb.com/bfs/archive/393734c402a2e2b00f8516bd7bf4c40d208423fd.jpg,1897,4091,608,0,爱吃的叶子吖,4610
BV1zH4y1r7Ri,一口气看完，6部限制级题材电影，大尺度无删减！,//i2.hdslb.com/bfs/archive/37896a0521f806b1dda457350a482e1dfa9a2c42.jpg,3654,51492975,1345871,668,悟空闹电影,133103
BV1kzMBzUEDS,据说这部励志电影曾治愈了三百多万处于迷茫中网友，后悔没早点看,//i2.hdslb.com/bfs/archive/f5c069accb642b6547162507da9c5e250a975c66.jpg,2026,331480,132252,146,時光影院,19720
BV1NoJ3zkEtf,一口气看完【我的世界】大电影。2025最新游戏改编科幻电影！,//i1.hdslb.com/bfs/archive/ff209ba45fbf124081572a570127007287032e48.jpg,1708,2601279,83938,274,萌妹动漫馆,732
BV1cqTEzxEKA,看完这部人生治愈电影，心里特别舒服。,//i2.hdslb.com/bfs/archive/8dbad37a5abc90305907d6531a0771bde6899fe6.jpg,1265,1100824,48591,62,海哥说情,1349
BV1hL92YoEuj,2025最新炸裂韩剧《善意的竞争》，尺度超大！全程高能刺激！,//i2.hdslb.com/bfs/archive/02cf30dcd453d3e39f9a4a0403bc768dc42f6605.jpg,2994,8798619,366793,615,时光琉影,247005
BV1BE42157YL,40年前的国产宝藏片，趁年轻越早看越好，真正影响了一代人！《人生》,//i0.hdslb.com/bfs/archive/0150689d4447a3724385cf81a324f112a8a149ca.jpg,992,35426862,473188,1802,浮生说剧,374895
BV1pEXaYvETn,笑着笑着就哭了！当他跳下楼梯的瞬间，社会逼疯的到底是他，还是我们？,//i0.hdslb.com/bfs/archive/22f826436941a8f37c2c38b9ec54bde7eda83f42.jpg,1393,7423546,10821050,4486,布谷电影,158844
