bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1Ct421A7b5,绅士必备，老司机狂喜的Ai软件,//i1.hdslb.com/bfs/archive/0f66b967caa4bb90d69a6720c20dfae39450deb5.jpg,1:17,36068288,120593,8,Netflix小助手,5027
BV1tnJ7zhEnQ,这就是最强的AI助理！如果不是，我倒想试试你的,//i0.hdslb.com/bfs/archive/1e8b0a64992f6fe24f313c8149778281e6c56f73.jpg,12:18,2201097,109153,103,老石谈芯,505679
BV1HH4y1T7Px,我用AI 复刻了《小王子》电影｜手把手教学,//i1.hdslb.com/bfs/archive/cec0ca21a0c1c6dc332737b607b1ccc824d5a68f.jpg,7:34,37611349,414740,490,Xuan_酱,344647
BV1Q5MwzFEu4,【AI视频动画】我用AI做了个小电影，手把手从零到一教学,//i1.hdslb.com/bfs/archive/ab45b68846355902b738a9be568c2feee7a158fc.png,8:16,393991,10748,93,Comfyui_官方教程,18372
BV1vjNhz6EbV,［4K60帧］Hi-Res 星辰落向何方-高达GQuuuuuuX 剧场版二 简中字幕  AI修复 无水印,//i2.hdslb.com/bfs/archive/1d684b3b11ae5678bd745b3379327ec630fc0f20.jpg,87:46,10544,168,0,mrassboys,1330
BV1bh4y1C7z1,AI绘画，性感的天使,//i0.hdslb.com/bfs/archive/3f445446be64fe44858adc0cf2e07dc53d838571.jpg,3:38,59124556,34133,5,囧次元无广告,47447
BV1rY7AzuEj1,1天1000条？揭秘AI视频流水线！【Git源宝】,//i1.hdslb.com/bfs/archive/052facd4631713d56a0fb0e3f2789e36bf634e90.jpg,6:24,1435696,191714,282,Git源宝,982100
BV1ErERzUEqg,全网最最全的AI推荐！历时半年，我们选出了Top100【全网首发】,//i0.hdslb.com/bfs/archive/6270768108fe88f5b021465a47e782be373fecc6.jpg,37:40,2373839,555561,323,图灵的猫,1095365
BV1RbcoeVEJy,一部有灵魂的 AI 动画短片 《妖狐》,//i2.hdslb.com/bfs/archive/67f4259e04032fa5168e87f949e2e382347e9d7b.jpg,5:5,12982439,31934,26,零重力瓦力,9822
BV1zsMtzEE7A,好久没发图片啦，更新一下,//i1.hdslb.com/bfs/archive/3b2b1ea1917261f6b77ca312acb1d06923daee6a.jpg,1:22,116309,1473,0,雨后茶红,3275
BV1tPMqz9EFu,【全200集】B站强推！2025最新最全AI大模型RAG系列教程，编程技术猛涨！！别再走弯路了，逼自己两周学完，从新手小白到AI全栈工程师看完它就够了！,//i0.hdslb.com/bfs/archive/04cdef67815f32213d57c83e7e5fd4d1d1eae118.jpg,667:19,43868,4470,102,AI大模型教程-,32530
